"filename", "language", "JSON", "JavaScript", "TypeScript", "CSS", "HTML", "Svelte", "Markdown", "XML", "comment", "blank", "total"
"c:\fellowclass\web\.prettierrc", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\fellowclass\web\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 24, 0, 0, 15, 39
"c:\fellowclass\web\package-lock.json", "JSON", 13555, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13556
"c:\fellowclass\web\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\fellowclass\web\postcss.config.cjs", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 4, 22
"c:\fellowclass\web\src\app.css", "CSS", 0, 0, 0, 6, 0, 0, 0, 0, 2, 1, 9
"c:\fellowclass\web\src\app.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\fellowclass\web\src\application.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\fellowclass\web\src\global.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\fellowclass\web\src\global.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\fellowclass\web\src\lib\WalletAccess.svelte", "Svelte", 0, 0, 0, 0, 0, 48, 0, 0, 0, 6, 54
"c:\fellowclass\web\src\lib\components\Blockie.svelte", "Svelte", 0, 0, 0, 0, 0, 122, 0, 0, 0, 27, 149
"c:\fellowclass\web\src\lib\components\DarkSwitch.svelte", "Svelte", 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\fellowclass\web\src\lib\components\Feature.svelte", "Svelte", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\fellowclass\web\src\lib\components\Install.svelte", "Svelte", 0, 0, 0, 0, 0, 107, 0, 0, 16, 6, 129
"c:\fellowclass\web\src\lib\components\Loading.svelte", "Svelte", 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
"c:\fellowclass\web\src\lib\components\Modal.svelte", "Svelte", 0, 0, 0, 0, 0, 100, 0, 0, 7, 16, 123
"c:\fellowclass\web\src\lib\components\NewVersionNotification.svelte", "Svelte", 0, 0, 0, 0, 0, 73, 0, 0, 14, 5, 92
"c:\fellowclass\web\src\lib\components\NoInstallPrompt.svelte", "Svelte", 0, 0, 0, 0, 0, 9, 0, 0, 2, 2, 13
"c:\fellowclass\web\src\lib\components\navigation\NavBar.svelte", "Svelte", 0, 0, 0, 0, 0, 23, 0, 0, 3, 5, 31
"c:\fellowclass\web\src\lib\components\navigation\NavButton.svelte", "Svelte", 0, 0, 0, 0, 0, 89, 0, 0, 0, 10, 99
